region_code,region_name,headquarters_city,headquarters_state
AAL,Alaskan Region,Anchorage,AK
ACE,Central Region,Kansas City,MO
AEA,Eastern Region,Jamaica,NY
AGL,Great Lakes Region,Des Plaines,IL
ANE,New England Region,Burlington,MA
ANM,Northwest Mountain Region,Renton,WA
ASO,Southern Region,College Park,GA
ASW,Southwest Region,Fort Worth,TX
AWP,Western-Pacific Region,Hawthorne,CA
